categories,description,title,item_details
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Beautiful navy blue bracelet with teardrop crystals, great statement piece! Pageant, prom, or bridal!
Size: 1.5"" wide
Style: stretch bracelet
colors available: navy blue
Looking for matching earrings? Browse through our listings or send us a message! :)
https://www.etsy.com/listing/524261468/navy-blue-long-earrings-navy-rhinestone?ref=shop_home_active_7&frs=1
https://www.etsy.com/listing/523849304/navy-earrings-navy-blue-rhinestone?ref=shop_home_active_31
https://www.etsy.com/listing/553473299/navy-blue-large-chandelier-rhinestone?ref=shop_home_active_15
https://www.etsy.com/listing/564874649/navy-blue-rhinestone-earrings-navy?ref=shop_home_active_29
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","navy statement bracelet, navy blue large bracelet, navy wide rhinestone bracelet, montana blue pageant bracelet, blue bracelet","[Materials: navy rhinestones, montana rhinestones, Bracelet width: 1.5 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Hoop Earrings]","Fun fashion rhinestone hoops!
These fun and stylish rhinestone multi color crystal earrings are a great accent piece! Pageant, prom, or bridal!
Size of earrings: 2 inches long
colors available: Multi color rhinestones
looking for a bracelet to complete your look? check out this matching bracelet! :)
https://www.etsy.com/listing/702336861/multi-color-bracelet-fuchsia-multi-color?ref=shop_home_active_109&pro=1&frs=1
https://www.etsy.com/listing/702336499/multi-color-bracelet-multi-color-cuff?ga_search_query=multi&ref=shop_items_search_3&pro=1&frs=1
https://www.etsy.com/listing/688482578/multi-color-crystal-bracelet-multi-color?ref=shop_home_active_80&pro=1&frs=1
https://www.etsy.com/listing/538148439/hot-pink-crystal-bracelet-large-crystal?ref=shop_home_active_71
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Rainbow hoop earrings, rainbow rhinestone hoops, unicorn hoops, multi color rhinestone hoops, pageant hoops,","[Location: Earlobe, Closure: Lever back, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets]","Beautiful bracelet with pearls and rhinestone crystals, great statement piece! Pageant, prom, or bridal! 
Size: .80"" wide 
Length: approx. 2.5"" in diameter
Style: stretch bracelet
color: clear crystal rhinestones and pearls
Base Metal Color: Silver and gold available! Just select preference under the ""Secondary Color"" Tab
more colors available upon request!
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/523957549/clear-rhinestone-earrings-clear?ref=shop_home_active_92
https://www.etsy.com/listing/551693998/extra-large-rhinestone-earrings-clear?ref=shop_home_active_12
https://www.etsy.com/listing/491507100/clear-rhinestone-dangle-earrings-drop?ref=shop_home_active_57
https://www.etsy.com/listing/550053363/clear-crystal-rhinestone-earrings-large?ref=shop_home_active_94
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","crystal and pearl bracelet, bridal bracelet, pearl and rhinestone bracelet, pearl and crystal prom bracelet, crystal stretch bracelet","[Made by   DesertRoseDesigns10, Materials: Glass, Adjustable, Jewelry style: Victorian, Can be personalized, Bracelet width: .80 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings]","These fun and stylish fuchsia rhinestone pink earrings are a great accent piece! Pageant, prom, or bridal! 
Size of earrings: 1.25 inch long
colors available: fuchsia rhinestones
Great flower girl or bridesmaid gifts! This item comes in an individual gift box. Thank you card and ribbon can be added free of charge. A personal message or individual name of recipient can be added as well! 
Just please leave a comment on the Note Section at checkout :)
Need a matching bracelet?
https://www.etsy.com/listing/676896386/fuchsia-bracelet-fuchsia-bridesmaid?ref=shop_home_active_7&frs=1
https://www.etsy.com/listing/607744629/fuchsia-bracelet-hot-pink-bracelet?ref=shop_home_active_24
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","fuchsia dangle earrings, fuchsia flower girl earrings, fuchsia prom earrings, fuchsia wedding earrings, fuchsia bridesmaid earrings","[Made by   DesertRoseDesigns10, Earring location: Earlobe, Closure: Push back, Length: 1.25 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings]","These fun and stylish rhinestone and pearl stud earrings are a great accent piece! Pageant, prom, or bridal! 
Size of earrings: .60 inch long
colors available: clear rhinestones stud and faux dangling pearl 
Base Metal Color: Silver
Great bridesmaid gifts! This item comes in an individual gift box. Thank you card and ribbon can be added free of charge. A personal message or individual name of recipient can be added as well! 
Just please leave a comment on the Note Section at checkout :)
Need a matching bracelet:
https://www.etsy.com/listing/593908716/crystal-and-pearl-bracelet-bridal?ref=shop_home_active_42&crt=1
https://www.etsy.com/listing/600792630/clear-rhinestone-bracelet-rhinestone?ref=shop_home_active_4
https://www.etsy.com/listing/569692815/rhinestone-stretch-bracelet-clear?ref=shop_home_active_51
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","bridal crystal and pearl earrings, bridesmaid earrings, flower girl pearl earrings, mother of the bride earrings, mother of the groom gifts","[Made by   DesertRoseDesigns10, Gemstone: Pearl, Earring location: Earlobe, Closure: Push back, Length: .60 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish aqua blue rhinestone earrings with large aqua crystals are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 1/2 inches wide, 1.25 long
colors available: aqua blue and clear rhinestones
Style: Clip on setting 
more colors available upon request, just message us! 
Base metal color: silver
looking for a matching bracelet to complete your look? check out this matching bracelet! :)
https://www.etsy.com/listing/697025105/aqua-prom-bracelet-aqua-blue-crystal?ref=shop_home_active_43
https://www.etsy.com/listing/676017392/aqua-bracelet-aquamarine-rhinestone?ref=shop_home_active_35
https://www.etsy.com/listing/688057084
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Aqua blue clip on earrings, large aqua stud clip on earrings, aqua pageant clip on earrings, teal clip on earrings","[Closure: Clip-on, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","Blue rhinestone dangle earrings
These fun and stylish rhinestone long earrings with blue crystals are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 1” Wide  and 3.25”Long. 
Color: Royal Blue with silver base metal color
more colors available!
just check our listings or message us!
looking for a matching bracelet? check out bracelet listings!
https://www.etsy.com/listing/594523565/blue-rhinestone-bracelet-royal-blue?ref=shop_home_active_1
https://www.etsy.com/listing/558555141/royal-blue-rhinestone-bracelet-royal?ref=shop_home_active_12
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Blue rhinestone earrings, blue stateme earrings, royal blue earrings, blue prom earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Closure: Push back, Drop length: 3.25 Inches; Length: 3.25 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Hoop Earrings]","These fun and stylish oversized citrine yellow hoop rhinestone earrings are a great statement piece! Pageant, photo shoots or fitness competitions!
Size of earrings: 2.75"" Wide and 3.75"" Long.
Color: Citrine Yellow rhinestones
Looking for a matching bracelet? Check out our listings or send us a message!
https://www.etsy.com/listing/701653437/yellow-bracelet-yellow-rhinestone?ref=shop_home_active_58
https://www.etsy.com/listing/600464738/yellow-bracelet-yellow-and-gold-bracelet?ref=shop_home_active_47
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","oversized yellow hoops, large yellow hoop earrings, extra large yellow earrings, yellow rhinestone earrings, citrine hoops","[Made by   DesertRoseDesigns10, Materials: yellow rhinestones, yellow crystals, Location: Earlobe, Closure: Push back, Style: Art deco, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Chandelier Earrings]","These fun and stylish orange  crystal rhinestone earrings are a great statement piece! Pageant, prom, Quincea~era or Sweet 16! 
Size of earrings: 1.25"" Wide and 3 inches Long. 
colors: orange rhinestones  
Style: pierced
Need a matching bracelet:
https://www.etsy.com/listing/1308057314/orange-bracelet-orange-rhinestone?click_key=12a13f72f873f9db606bde98276e4700cb2552e5%3A1308057314&click_sum=12fb00a8&ga_search_query=orange&ref=shop_items_search_20&frs=1&sts=1
https://www.etsy.com/listing/1197703172/orange-rhinestone-bracelet-orange-prom?click_key=97987fc02c7c4f58d4bd499e99a2564c55606210%3A1197703172&click_sum=c8b1b560&ga_search_query=orange&ref=shop_items_search_26&crt=1&sts=1
https://www.etsy.com/listing/1308670724/orange-bracelet-orange-homecoming?click_key=99b4a8c07afceda21d1fdc7321f0678d1f53cf3e%3A1308670724&click_sum=9fcde09c&ga_search_query=orange&ref=shop_items_search_35&sts=1
https://www.etsy.com/listing/1487131903/orange-and-ab-rhinestone-stretch?click_key=d77e94c7e4fb246243cd2d2a1ebb0b8a485a86a3%3A1487131903&click_sum=87b4136a&ga_search_query=orange&ref=shop_items_search_11&sts=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
Jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Orange dangle earrings, orange rhinestone earrings, orange pageant earrings, orange stage earrings, orange Halloween earrings","[Made by   DesertRoseDesigns10, Materials: Orange rhinesontes, Orange crystals, Location: Earlobe, Length: 3 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Hoop Earrings]","These fun and stylish blue ab rhinestone long hoop earrings are paved with two rows of crystals. Great statement piece! Pageant, prom, or bridal!
Size of earrings: 3"" Long.
Color: blue Iridescent Rhinestones
Base Metal color: silver 
Style: Pierced 
Need a matching bracelet?
https://www.etsy.com/listing/676036764/ab-bracelet-iridescent-bracelet-aurora?ref=shop_home_active_25
https://www.etsy.com/listing/580831330/ab-rhinestone-bracelet-aurora-borealis?ref=shop_home_active_43
https://www.etsy.com/listing/689909129/iridescent-prom-bracelet-ab-crystal?ref=shop_home_active_72
Or Matching ring?
https://www.etsy.com/listing/709190557/ab-ring-ab-rhinestone-statement-ring-ab?ref=shop_home_active_4&frs=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Blue iridescent hoop earrings, blue rhinestone hoops, blue ab pageant hoops, blue statement hoops","[Location: Earlobe, Closure: Latch back, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish emerald green earrings have a beautiful teardrop large crystal in the center surrounded by clear crystal rhinestones. These clip on stud earrings are a great statement piece! Pageant, prom, or evening! 
Size of earrings: 1"" Wide and 1.3"" Long. 
Color: Emerald green 
Base color: silver
Style: Clip on 
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","emerald clip on earrings, emerald rhinestone clip one earrings, emerald green prom earrings, green stud clip on earrings","[Made by   DesertRoseDesigns10, Closure: Clip-on, Length: 1.3 Inches; Width: 1 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish crystal rhinestone earrings are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 1"" Wide and 2.75"" Long. 
Style: Clip On
Looking for a matching bracelet? Check out our listings or send us a message!
https://www.etsy.com/listing/621706205/navy-bracelet-rhinestone-navy-bracelet?ref=shop_home_active_1
https://www.etsy.com/listing/564875311/navy-bracelet-navy-rhinestone-bracelet?ref=shop_home_active_14
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesigns.net
Expedited shipping available, just contact us!","navy clip on earrings, navy blue clip on earrings, dark blue dangle clip earrings, navy prom clip on earrings, navy pageant clip on earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Closure: Clip-on, Style: Art nouveau, Length: 2.75 Inches; Width: 1 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Bangles]","Beautiful AB bracelet with large crystals, great statement piece! Pageant, prom, or bridal! 
Size: 1.5"" wide 
Style: stretch bracelet
colors available: Aurora Borealis 
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/551147551/oversized-rhinestone-earrings-clear?ref=shop_home_active_75
https://www.etsy.com/listing/512851060/ab-rhinestone-earrings-large-crystal?ref=shop_home_active_84
https://www.etsy.com/listing/547268676/ab-rhinestone-earrings-ab-chunky?ref=shop_home_active_27
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","ab bracelet, auroa bolearis stretch bracelet, wide ab crystal bracelet, iridescent prom bracelet, ab pageant bracelet","[Made by   DesertRoseDesigns10, Bracelet width: 1.5 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Bangles]","Beautiful bracelet with rhinestone crystals, great statement piece! Pageant, prom, or bridal! 
Size: 1.7"" wide 
Style: stretch bracelet
color: emerald green and AB rhinestones
more colors available upon request!
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/508698016/emerald-green-rhinestone-long-earrings?ref=shop_home_active_1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesings.net
Expedited shipping available, just contact us!","emerald green rhinestone bracelet, emerald rhinestone bangle, large pageant bracelet, wide crystal bracelet, prom jewelry","[Bracelet width: 1.7 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
